delivery_id,po_id,project_id,supplier_id,material_id,planned_delivery_date,expected_delivery_date,actual_delivery_date,ordered_quantity,delivered_quantity,accepted_quantity,rejected_quantity,delay_days,late_delivery_flag,quality_issue_flag,delivery_status
DEL-0000001,PO-0000001,PRJ-0001,SUP-0019,MAT-0161,2019-03-02,2019-02-11,2019-02-12,189.0,193.26,193.26,0.0,1,0,0,On Time
DEL-0000002,PO-0000002,PRJ-0001,SUP-0172,MAT-0187,2020-08-08,2020-07-26,2020-07-30,726.0,719.11,719.11,0.0,4,1,0,Late
DEL-0000003,PO-0000003,PRJ-0001,SUP-0266,MAT-0076,2020-03-05,2020-02-23,2020-02-23,780.0,800.58,800.58,0.0,0,0,0,On Time
DEL-0000004,PO-0000004,PRJ-0001,SUP-0184,MAT-0095,2020-08-31,2020-08-24,2020-08-24,1248.0,1265.5,1265.5,0.0,0,0,0,On Time
DEL-0000005,PO-0000005,PRJ-0001,SUP-0232,MAT-0148,2020-08-31,2020-08-22,2020-08-24,390.0,378.78,378.78,0.0,2,0,0,On Time
DEL-0000006,PO-0000006,PRJ-0001,SUP-0016,MAT-0205,2020-06-11,2020-05-22,2020-05-22,121.0,118.53,118.53,0.0,0,0,0,On Time
DEL-0000007,PO-0000007,PRJ-0001,SUP-0310,MAT-0045,2020-01-03,2019-12-29,2019-12-30,651.0,642.63,642.63,0.0,1,0,0,On Time
DEL-0000008,PO-0000008,PRJ-0001,SUP-0272,MAT-0224,2020-06-27,2020-06-13,2020-06-13,760.0,769.41,769.41,0.0,0,0,0,On Time
DEL-0000009,PO-0000009,PRJ-0001,SUP-0053,MAT-0064,2020-09-19,2020-09-04,2020-09-04,996.0,983.86,983.86,0.0,0,0,0,On Time
DEL-0000010,PO-0000010,PRJ-0001,SUP-0060,MAT-0070,2019-06-01,2019-05-16,2019-05-16,816.0,843.64,843.64,0.0,0,0,0,On Time
DEL-0000011,PO-0000011,PRJ-0001,SUP-0029,MAT-0188,2020-01-30,2020-01-10,2020-01-10,198.0,193.1,193.1,0.0,0,0,0,On Time
DEL-0000012,PO-0000012,PRJ-0001,SUP-0039,MAT-0001,2020-02-19,2020-02-05,2020-02-05,200.0,192.97,192.97,0.0,0,0,0,On Time
DEL-0000013,PO-0000013,PRJ-0001,SUP-0209,MAT-0127,2020-04-20,2020-04-10,2020-04-12,552.0,555.84,555.84,0.0,2,0,0,On Time
DEL-0000014,PO-0000014,PRJ-0001,SUP-0103,MAT-0119,2020-11-09,2020-10-21,2020-10-21,994.0,1000.67,1000.67,0.0,0,0,0,On Time
DEL-0000015,PO-0000015,PRJ-0001,SUP-0034,MAT-0141,2020-01-16,2019-12-29,2020-01-19,760.0,726.78,726.78,0.0,21,1,0,Late
DEL-0000016,PO-0000016,PRJ-0001,SUP-0336,MAT-0081,2019-05-23,2019-05-14,2019-05-15,105.0,102.99,102.99,0.0,1,0,0,On Time
DEL-0000017,PO-0000017,PRJ-0001,SUP-0034,MAT-0064,2020-12-01,2020-11-17,2020-11-25,249.0,236.43,236.43,0.0,8,1,0,Late
DEL-0000018,PO-0000018,PRJ-0001,SUP-0175,MAT-0002,2019-09-10,2019-08-29,2019-08-29,52.0,53.11,53.11,0.0,0,0,0,On Time
DEL-0000019,PO-0000019,PRJ-0001,SUP-0101,MAT-0245,2020-03-20,2020-03-05,2020-03-14,1316.0,1308.45,1308.45,0.0,9,1,0,Late
DEL-0000020,PO-0000020,PRJ-0001,SUP-0014,MAT-0134,2020-07-28,2020-07-18,2020-07-18,312.0,303.39,303.39,0.0,0,0,0,On Time
DEL-0000021,PO-0000021,PRJ-0001,SUP-0027,MAT-0155,2020-07-08,2020-06-17,2020-06-17,126.0,124.38,124.38,0.0,0,0,0,On Time
DEL-0000022,PO-0000022,PRJ-0001,SUP-0100,MAT-0058,2020-09-24,2020-09-18,2020-09-19,15.0,14.86,14.86,0.0,1,0,0,On Time
DEL-0000023,PO-0000023,PRJ-0001,SUP-0008,MAT-0005,2020-09-13,2020-08-31,2020-09-11,70.0,67.49,67.49,0.0,11,1,0,Late
DEL-0000024,PO-0000024,PRJ-0001,SUP-0124,MAT-0173,2019-06-28,2019-06-07,2019-06-09,960.0,973.85,973.85,0.0,2,0,0,On Time
DEL-0000025,PO-0000025,PRJ-0001,SUP-0308,MAT-0204,2020-05-31,2020-05-10,2020-05-10,558.0,556.35,556.35,0.0,0,0,0,On Time
DEL-0000026,PO-0000026,PRJ-0001,SUP-0034,MAT-0092,2020-09-11,2020-08-24,2020-08-25,105.0,100.44,100.44,0.0,1,0,0,On Time
DEL-0000027,PO-0000027,PRJ-0001,SUP-0290,MAT-0084,2020-09-01,2020-08-17,2020-08-17,495.0,500.94,500.94,0.0,0,0,0,On Time
DEL-0000028,PO-0000028,PRJ-0001,SUP-0111,MAT-0032,2019-01-17,2019-01-02,2019-01-03,228.0,225.56,225.56,0.0,1,0,0,On Time
DEL-0000029,PO-0000029,PRJ-0001,SUP-0137,MAT-0221,2019-06-16,2019-05-28,2019-05-30,174.0,172.93,172.93,0.0,2,0,0,On Time
DEL-0000030,PO-0000030,PRJ-0001,SUP-0182,MAT-0054,2019-05-19,2019-04-29,2019-04-29,300.0,284.45,284.45,0.0,0,0,0,On Time
DEL-0000031,PO-0000031,PRJ-0001,SUP-0014,MAT-0212,2020-01-07,2019-12-24,2019-12-24,318.0,312.33,312.33,0.0,0,0,0,On Time
DEL-0000032,PO-0000032,PRJ-0001,SUP-0302,MAT-0001,2020-03-23,2020-03-08,2020-03-08,180.0,181.26,181.26,0.0,0,0,0,On Time
DEL-0000033,PO-0000033,PRJ-0001,SUP-0240,MAT-0203,2019-04-07,2019-04-02,2019-04-03,658.0,653.28,653.28,0.0,1,0,0,On Time
DEL-0000034,PO-0000034,PRJ-0001,SUP-0174,MAT-0167,2020-12-18,2020-12-03,2020-12-04,296.0,308.07,308.07,0.0,1,0,0,On Time
DEL-0000035,PO-0000035,PRJ-0001,SUP-0346,MAT-0218,2020-08-27,2020-08-05,2020-09-11,204.0,200.08,200.08,0.0,37,1,0,Late
DEL-0000036,PO-0000036,PRJ-0001,SUP-0299,MAT-0100,2019-05-03,2019-04-15,2019-04-15,71.0,68.07,68.07,0.0,0,0,0,On Time
DEL-0000037,PO-0000037,PRJ-0001,SUP-0160,MAT-0145,2019-08-01,2019-07-22,2019-07-24,676.0,682.36,682.36,0.0,2,1,0,Late
DEL-0000038,PO-0000038,PRJ-0001,SUP-0250,MAT-0012,2019-06-16,2019-05-29,2019-05-30,462.0,467.74,467.74,0.0,1,0,0,On Time
DEL-0000039,PO-0000039,PRJ-0001,SUP-0069,MAT-0156,2020-12-11,2020-11-22,2020-11-22,158.0,159.27,159.27,0.0,0,0,0,On Time
