equipment_id,equipment_type,operating_hours,downtime_hours,utilization_rate,maintenance_cost
EQP-00001,Welding Machine,1876,13.05,0.9931,9215.83
EQP-00002,Crane,4109,9.75,0.9976,2039.6
EQP-00003,Excavator,10313,15.8,0.9985,7580.62
EQP-00004,Concrete Pump,15653,71.73,0.9954,1063.0
EQP-00005,Compressor,1933,14.2,0.9927,2807.61
EQP-00006,Welding Machine,3388,18.66,0.9945,2476.41
EQP-00007,Welding Machine,13590,25.04,0.9982,4621.77
EQP-00008,Excavator,10976,45.74,0.9959,1830.42
EQP-00009,Forklift,8275,16.43,0.998,11553.77
EQP-00010,Excavator,9312,16.01,0.9983,6507.5
EQP-00011,Generator,18812,49.42,0.9974,3938.65
EQP-00012,Generator,16849,39.3,0.9977,3898.37
EQP-00013,Excavator,16671,35.11,0.9979,6358.49
EQP-00014,Concrete Pump,9484,25.74,0.9973,1384.85
EQP-00015,Excavator,841,88.75,0.9045,9527.47
EQP-00016,Compressor,17116,25.41,0.9985,6023.76
EQP-00017,Compressor,1902,58.3,0.9703,1711.59
EQP-00018,Excavator,19656,28.63,0.9985,765.14
EQP-00019,Crane,16451,47.89,0.9971,6826.6
EQP-00020,Compressor,2612,37.6,0.9858,2056.55
EQP-00021,Welding Machine,8417,19.0,0.9977,1885.44
EQP-00022,Concrete Pump,15453,47.55,0.9969,3025.99
EQP-00023,Excavator,18767,46.24,0.9975,2648.68
EQP-00024,Forklift,4851,31.32,0.9936,525.04
EQP-00025,Crane,6917,13.65,0.998,1005.69
EQP-00026,Forklift,9202,79.39,0.9914,7222.95
EQP-00027,Generator,15801,28.31,0.9982,1984.58
EQP-00028,Generator,2638,5.67,0.9979,3965.09
EQP-00029,Excavator,10983,8.2,0.9993,1579.1
EQP-00030,Generator,13299,33.9,0.9975,2236.74
EQP-00031,Crane,12612,38.18,0.997,15230.04
EQP-00032,Forklift,3845,43.42,0.9888,715.86
EQP-00033,Excavator,15890,14.68,0.9991,571.34
EQP-00034,Compressor,12287,27.92,0.9977,881.22
EQP-00035,Welding Machine,9395,59.99,0.9937,98384.15
EQP-00036,Manlift,8879,13.76,0.9985,4110.31
EQP-00037,Forklift,19080,23.72,0.9988,2517.57
EQP-00038,Welding Machine,7337,37.55,0.9949,860.24
EQP-00039,Crane,6382,22.29,0.9965,4174.81
EQP-00040,Concrete Pump,14632,36.81,0.9975,1637.37
EQP-00041,Excavator,19505,14.11,0.9993,38336.73
EQP-00042,Welding Machine,6268,60.01,0.9905,9116.92
EQP-00043,Forklift,12733,29.45,0.9977,1358.66
EQP-00044,Excavator,3695,22.91,0.9938,643.21
EQP-00045,Manlift,3115,92.99,0.971,2585.4
EQP-00046,Compressor,2408,79.7,0.968,1820.54
EQP-00047,Forklift,8263,45.67,0.9945,3714.06
EQP-00048,Manlift,205,9.02,0.9579,23585.77
EQP-00049,Excavator,17849,24.39,0.9986,789.61
EQP-00050,Forklift,5682,52.86,0.9908,2962.69
EQP-00051,Excavator,8730,42.83,0.9951,3323.26
EQP-00052,Concrete Pump,457,3.48,0.9924,1083.69
EQP-00053,Compressor,15347,15.41,0.999,8947.08
EQP-00054,Concrete Pump,1779,34.13,0.9812,5357.31
EQP-00055,Generator,1709,25.57,0.9853,5685.86
EQP-00056,Manlift,6343,29.5,0.9954,2278.72
EQP-00057,Compressor,11979,38.1,0.9968,3322.88
EQP-00058,Generator,15001,149.74,0.9901,1070.74
EQP-00059,Welding Machine,14792,8.03,0.9995,4353.46
EQP-00060,Crane,13304,17.83,0.9987,226.62
EQP-00061,Compressor,6751,12.74,0.9981,42329.96
EQP-00062,Generator,5868,15.43,0.9974,361.67
EQP-00063,Generator,5554,124.07,0.9781,799.4
EQP-00064,Welding Machine,16833,178.67,0.9895,1916.2
EQP-00065,Excavator,7221,100.85,0.9862,2220.9
EQP-00066,Manlift,18313,45.87,0.9975,2538.71
EQP-00067,Crane,9167,27.55,0.997,3938.69
EQP-00068,Crane,16636,47.05,0.9972,3592.18
EQP-00069,Forklift,16581,34.72,0.9979,1254.05
EQP-00070,Crane,10776,30.88,0.9971,19693.14
EQP-00071,Generator,18981,17.26,0.9991,4078.11
EQP-00072,Crane,17881,74.52,0.9958,5303.76
EQP-00073,Crane,13818,63.47,0.9954,786.41
EQP-00074,Welding Machine,6481,40.62,0.9938,2099.37
EQP-00075,Excavator,14806,27.24,0.9982,17427.25
EQP-00076,Generator,16690,27.58,0.9984,4252.2
EQP-00077,Excavator,1316,5.44,0.9959,23690.28
EQP-00078,Forklift,6830,60.98,0.9912,2769.47
EQP-00079,Concrete Pump,3740,25.42,0.9932,5998.03
EQP-00080,Generator,17098,73.91,0.9957,24166.47
EQP-00081,Concrete Pump,9836,59.61,0.994,3228.76
EQP-00082,Forklift,1542,65.97,0.959,7622.2
EQP-00083,Welding Machine,10115,35.18,0.9965,7339.62
EQP-00084,Concrete Pump,12475,55.99,0.9955,2750.83
EQP-00085,Manlift,19202,21.66,0.9989,6406.32
EQP-00086,Welding Machine,19933,13.41,0.9993,692.38
EQP-00087,Crane,1097,42.06,0.9631,6188.91
EQP-00088,Generator,9570,41.83,0.9956,4898.42
EQP-00089,Generator,10402,51.04,0.9951,17520.71
EQP-00090,Concrete Pump,9815,60.32,0.9939,7915.01
EQP-00091,Forklift,14637,39.72,0.9973,4123.31
EQP-00092,Forklift,15924,29.67,0.9981,4722.4
EQP-00093,Manlift,1816,12.79,0.993,17636.87
EQP-00094,Compressor,3602,16.29,0.9955,8211.26
EQP-00095,Generator,2884,80.77,0.9728,8186.03
EQP-00096,Crane,8533,136.79,0.9842,269.29
EQP-00097,Compressor,9615,22.86,0.9976,14349.36
EQP-00098,Welding Machine,14479,10.33,0.9993,1149.45
EQP-00099,Forklift,340,48.78,0.8745,547.13
EQP-00100,Manlift,7879,34.76,0.9956,5173.28
EQP-00101,Crane,960,37.03,0.9629,3924.73
EQP-00102,Crane,17282,18.25,0.9989,3774.91
EQP-00103,Excavator,16186,24.17,0.9985,2166.77
EQP-00104,Crane,208,59.67,0.7771,629.06
EQP-00105,Excavator,19267,2.09,0.9999,7326.99
EQP-00106,Manlift,19367,38.71,0.998,14665.06
EQP-00107,Crane,8986,17.15,0.9981,2649.96
EQP-00108,Concrete Pump,10842,35.77,0.9967,1460.77
EQP-00109,Concrete Pump,16285,15.26,0.9991,7818.92
EQP-00110,Manlift,10498,8.87,0.9992,855.21
