event_id,event_date,equipment_id,equipment_type,operating_hours,downtime_hours,utilization_rate,maintenance_flag,failure_flag,failure_severity,maintenance_cost,degradation_index,event_type
EQEV-00000001,2025-01-01,EQP-00522,Forklift,6.17,3.44,0.6244,0,0,None,5.23,0.4603,Normal Operation
EQEV-00000002,2025-01-02,EQP-00522,Forklift,5.32,0.74,0.5747,0,0,None,5.49,0.4454,Normal Operation
EQEV-00000003,2025-01-03,EQP-00522,Forklift,6.03,2.54,0.6374,0,0,None,5.22,0.4642,Normal Operation
EQEV-00000004,2025-01-04,EQP-00522,Forklift,5.07,1.59,0.4637,0,0,None,2.26,0.4121,Normal Operation
EQEV-00000005,2025-01-05,EQP-00522,Forklift,5.58,1.1,0.5381,0,0,None,2.61,0.4344,Normal Operation
EQEV-00000006,2025-01-06,EQP-00522,Forklift,5.04,3.18,0.5328,0,0,None,3.37,0.4328,Normal Operation
EQEV-00000007,2025-01-07,EQP-00522,Forklift,5.8,2.05,0.5468,0,0,None,2.9,0.437,Normal Operation
EQEV-00000008,2025-01-08,EQP-00522,Forklift,6.4,3.14,0.6054,0,0,None,4.43,0.4546,Normal Operation
EQEV-00000009,2025-01-09,EQP-00522,Forklift,5.33,0.72,0.578,0,0,None,4.71,0.4464,Normal Operation
EQEV-00000010,2025-01-10,EQP-00522,Forklift,6.55,3.55,0.6469,0,0,None,3.77,0.467,Normal Operation
EQEV-00000011,2025-01-11,EQP-00522,Forklift,4.01,0.68,0.4233,0,0,None,4.38,0.3999,Normal Operation
EQEV-00000012,2025-01-12,EQP-00522,Forklift,5.38,1.36,0.5208,0,1,Minor,31.6,0.4292,Failure
EQEV-00000013,2025-01-13,EQP-00522,Forklift,5.63,2.79,0.5624,0,0,None,3.32,0.4417,Normal Operation
EQEV-00000014,2025-01-14,EQP-00522,Forklift,5.77,0.31,0.5936,0,0,None,4.98,0.451,Normal Operation
EQEV-00000015,2025-01-15,EQP-00522,Forklift,6.23,1.3,0.5697,0,0,None,2.47,0.4439,Normal Operation
EQEV-00000016,2025-01-16,EQP-00522,Forklift,5.68,0.19,0.5729,0,0,None,5.63,0.4448,Normal Operation
EQEV-00000017,2025-01-17,EQP-00522,Forklift,6.32,2.27,0.6058,0,0,None,2.42,0.4547,Normal Operation
EQEV-00000018,2025-01-18,EQP-00522,Forklift,4.74,5.26,0.5222,0,0,None,4.51,0.4296,Downtime
EQEV-00000019,2025-01-19,EQP-00522,Forklift,5.06,1.25,0.4665,0,1,Critical,34.55,0.4129,Failure
EQEV-00000020,2025-01-20,EQP-00522,Forklift,6.65,0.62,0.6671,0,0,None,4.23,0.4731,Normal Operation
EQEV-00000021,2025-01-21,EQP-00522,Forklift,4.98,4.32,0.551,0,0,None,2.52,0.4382,Downtime
EQEV-00000022,2025-01-22,EQP-00522,Forklift,5.37,2.36,0.5611,0,0,None,5.87,0.4413,Normal Operation
EQEV-00000023,2025-01-23,EQP-00522,Forklift,4.58,0.86,0.5052,0,0,None,3.39,0.4245,Normal Operation
EQEV-00000024,2025-01-24,EQP-00522,Forklift,6.46,1.59,0.6745,0,0,None,2.26,0.4753,Normal Operation
EQEV-00000025,2025-01-25,EQP-00522,Forklift,4.69,2.15,0.4267,0,0,None,4.23,0.401,Normal Operation
EQEV-00000026,2025-01-26,EQP-00522,Forklift,6.31,1.22,0.5988,0,0,None,3.16,0.4526,Normal Operation
EQEV-00000027,2025-01-27,EQP-00522,Forklift,4.76,6.33,0.502,0,0,None,4.56,0.4236,Downtime
EQEV-00000028,2025-01-28,EQP-00522,Forklift,4.92,3.17,0.5114,0,0,None,2.13,0.4264,Normal Operation
EQEV-00000029,2025-01-29,EQP-00522,Forklift,6.6,3.17,0.7126,0,0,None,4.48,0.4867,Normal Operation
EQEV-00000030,2025-01-30,EQP-00522,Forklift,5.62,3.88,0.5297,0,0,None,5.92,0.4319,Normal Operation
EQEV-00000031,2025-01-31,EQP-00522,Forklift,5.39,4.13,0.5613,0,0,None,5.91,0.4413,Downtime
EQEV-00000032,2025-02-01,EQP-00522,Forklift,5.0,2.16,0.4948,0,0,None,6.08,0.4214,Normal Operation
EQEV-00000033,2025-02-02,EQP-00522,Forklift,6.93,1.39,0.6376,0,1,Minor,47.3,0.4642,Failure
EQEV-00000034,2025-02-03,EQP-00522,Forklift,4.31,0.56,0.4282,0,0,None,3.63,0.4014,Normal Operation
EQEV-00000035,2025-02-04,EQP-00522,Forklift,7.11,0.18,0.6899,0,0,None,5.17,0.4799,Normal Operation
EQEV-00000036,2025-02-05,EQP-00522,Forklift,6.88,0.48,0.747,0,0,None,3.36,0.497,Normal Operation
EQEV-00000037,2025-02-06,EQP-00522,Forklift,6.29,2.68,0.5804,0,0,None,2.16,0.4471,Normal Operation
EQEV-00000038,2025-02-07,EQP-00522,Forklift,5.41,1.05,0.5787,0,0,None,3.39,0.4466,Normal Operation
EQEV-00000039,2025-02-08,EQP-00522,Forklift,5.52,0.86,0.5136,0,0,None,3.11,0.427,Normal Operation
EQEV-00000040,2025-02-09,EQP-00522,Forklift,6.07,0.82,0.617,0,0,None,5.53,0.458,Normal Operation
EQEV-00000041,2025-02-10,EQP-00522,Forklift,6.74,0.18,0.621,0,0,None,5.4,0.4593,Normal Operation
EQEV-00000042,2025-02-11,EQP-00522,Forklift,6.39,1.39,0.6211,0,0,None,5.63,0.4593,Normal Operation
EQEV-00000043,2025-02-12,EQP-00522,Forklift,3.86,2.16,0.3947,0,0,None,3.8,0.3914,Normal Operation
EQEV-00000044,2025-02-13,EQP-00522,Forklift,7.19,3.74,0.7382,0,0,None,3.31,0.4944,Normal Operation
EQEV-00000045,2025-02-14,EQP-00522,Forklift,7.63,6.65,0.704,0,0,None,4.78,0.4842,Downtime
EQEV-00000046,2025-02-15,EQP-00522,Forklift,5.7,1.96,0.5663,0,0,None,4.96,0.4428,Normal Operation
EQEV-00000047,2025-02-16,EQP-00522,Forklift,5.08,3.44,0.497,0,0,None,2.64,0.422,Normal Operation
EQEV-00000048,2025-02-17,EQP-00522,Forklift,5.37,5.8,0.5062,0,0,None,3.13,0.4248,Downtime
EQEV-00000049,2025-02-18,EQP-00522,Forklift,4.62,2.42,0.5027,0,0,None,4.24,0.4238,Normal Operation
EQEV-00000050,2025-02-19,EQP-00522,Forklift,6.42,6.19,0.6058,0,0,None,2.56,0.4547,Downtime
EQEV-00000051,2025-02-20,EQP-00522,Forklift,7.41,3.69,0.7181,0,0,None,5.8,0.4884,Normal Operation
EQEV-00000052,2025-02-21,EQP-00522,Forklift,5.9,0.73,0.6188,0,0,None,5.96,0.4586,Normal Operation
EQEV-00000053,2025-02-22,EQP-00522,Forklift,4.28,5.69,0.438,0,0,None,4.06,0.4044,Downtime
EQEV-00000054,2025-02-23,EQP-00522,Forklift,5.61,3.72,0.5108,0,0,None,4.72,0.4262,Normal Operation
