activity_id,project_id,activity_sequence,activity_name,activity_type,planned_start_date,planned_finish_date,planned_duration_days,actual_finish_date,progress_pct,critical_path_flag,baseline_cost,actual_cost,delay_days,delay_flag
ACT-000001,PRJ-0001,1,Mobilization,General,2018-12-31,2019-04-10,100,2019-04-10,100.0,0,987977.42,1056853.58,0,0
ACT-000002,PRJ-0001,2,Site Preparation,Civil,2019-01-15,2019-04-03,78,2019-04-03,100.0,1,501577.77,526908.98,0,0
ACT-000003,PRJ-0001,3,Excavation,Civil,2019-01-18,2019-02-08,21,2019-02-08,100.0,0,1491184.13,1414969.37,0,0
ACT-000004,PRJ-0001,4,Foundation Works,Civil,2019-01-24,2019-02-02,9,2019-02-02,100.0,1,1347450.79,1166044.05,0,0
ACT-000005,PRJ-0001,5,Concrete Works,Structural,2019-01-31,2019-02-21,21,2019-02-21,100.0,0,1304347.65,1378562.59,0,0
ACT-000006,PRJ-0001,6,Structural Steel,Structural,2019-02-04,2019-05-11,96,2019-05-22,100.0,1,1050984.06,978820.37,11,1
ACT-000007,PRJ-0001,7,Block Works,Architectural,2019-02-06,2019-03-17,39,2019-03-17,100.0,1,852218.06,899293.59,0,0
ACT-000008,PRJ-0001,8,Waterproofing,Architectural,2019-02-08,2019-02-27,19,2019-02-27,100.0,0,1342217.93,1391265.28,0,0
ACT-000009,PRJ-0001,9,Plastering,Architectural,2019-03-02,2019-05-10,69,2019-05-14,100.0,1,521219.51,505816.33,4,0
ACT-000010,PRJ-0001,10,Floor Finishing,Architectural,2019-03-04,2019-06-20,108,2019-06-20,100.0,1,1383174.13,1372276.32,0,0
ACT-000011,PRJ-0001,11,Painting,Architectural,2019-03-21,2019-05-22,62,2019-05-22,100.0,1,1298671.65,1148325.73,0,0
ACT-000012,PRJ-0001,12,HVAC Installation,MEP,2019-03-26,2019-05-09,44,2019-05-09,100.0,0,1654784.15,1604721.96,0,0
ACT-000013,PRJ-0001,13,Electrical Installation,MEP,2019-03-29,2019-04-16,18,2019-04-16,100.0,0,1488652.91,1377466.3,0,0
ACT-000014,PRJ-0001,14,Plumbing Installation,MEP,2019-04-11,2019-07-09,89,2019-07-09,100.0,1,1647134.28,1419523.99,0,0
