po_id,project_id,material_id,supplier_id,po_date,required_date,ordered_quantity,unit_price,total_value,payment_terms_days,priority,po_status,expected_delivery_date
PO-0000001,PRJ-0001,MAT-0161,SUP-0019,2019-02-02,2019-03-02,189,2193.79,414626.31,30,High,Closed,2019-02-11
PO-0000002,PRJ-0001,MAT-0187,SUP-0172,2020-07-13,2020-08-08,726,6254.53,4540788.78,90,Normal,Delivered,2020-07-26
PO-0000003,PRJ-0001,MAT-0076,SUP-0266,2020-01-14,2020-03-05,780,24629.45,19210971.0,45,High,Delivered,2020-02-23
PO-0000004,PRJ-0001,MAT-0095,SUP-0184,2020-08-14,2020-08-31,1248,11000.93,13729160.64,60,Normal,Delivered,2020-08-24
PO-0000005,PRJ-0001,MAT-0148,SUP-0232,2020-06-24,2020-08-31,390,41901.22,16341475.8,30,High,Open,2020-08-22
PO-0000006,PRJ-0001,MAT-0205,SUP-0016,2020-04-27,2020-06-11,121,3908.58,472938.18,60,Normal,Delivered,2020-05-22
PO-0000007,PRJ-0001,MAT-0045,SUP-0310,2019-11-13,2020-01-03,651,3954.03,2574073.53,45,Critical,Delivered,2019-12-29
PO-0000008,PRJ-0001,MAT-0224,SUP-0272,2020-04-17,2020-06-27,760,7731.5,5875940.0,45,Normal,Delivered,2020-06-13
PO-0000009,PRJ-0001,MAT-0064,SUP-0053,2020-08-24,2020-09-19,996,1779.3,1772182.8,30,Normal,Delivered,2020-09-04
PO-0000010,PRJ-0001,MAT-0070,SUP-0060,2019-04-29,2019-06-01,816,4168.69,3401651.04,30,Normal,Delivered,2019-05-16
PO-0000011,PRJ-0001,MAT-0188,SUP-0029,2019-12-15,2020-01-30,198,1595.89,315986.22,30,High,Partially Delivered,2020-01-10
PO-0000012,PRJ-0001,MAT-0001,SUP-0039,2019-11-19,2020-02-19,200,13108.85,2621770.0,30,Normal,Delivered,2020-02-05
PO-0000013,PRJ-0001,MAT-0127,SUP-0209,2020-02-26,2020-04-20,552,6451.79,3561388.08,30,High,Delivered,2020-04-10
PO-0000014,PRJ-0001,MAT-0119,SUP-0103,2020-09-02,2020-11-09,994,9190.49,9135347.06,45,High,Delivered,2020-10-21
PO-0000015,PRJ-0001,MAT-0141,SUP-0034,2019-12-15,2020-01-16,760,6462.57,4911553.2,90,Normal,Delivered,2019-12-29
PO-0000016,PRJ-0001,MAT-0081,SUP-0336,2019-04-04,2019-05-23,105,2514.9,264064.5,90,High,Delivered,2019-05-14
PO-0000017,PRJ-0001,MAT-0064,SUP-0034,2020-11-05,2020-12-01,249,1656.62,412498.38,90,Normal,Delivered,2020-11-17
PO-0000018,PRJ-0001,MAT-0002,SUP-0175,2019-07-15,2019-09-10,52,3788.52,197003.04,30,High,Open,2019-08-29
PO-0000019,PRJ-0001,MAT-0245,SUP-0101,2019-12-07,2020-03-20,1316,2223.44,2926047.04,60,Normal,Closed,2020-03-05
PO-0000020,PRJ-0001,MAT-0134,SUP-0014,2020-05-22,2020-07-28,312,1565.43,488414.16,60,High,Open,2020-07-18
PO-0000021,PRJ-0001,MAT-0155,SUP-0027,2020-05-26,2020-07-08,126,10776.64,1357856.64,60,Normal,Partially Delivered,2020-06-17
PO-0000022,PRJ-0001,MAT-0058,SUP-0100,2020-06-23,2020-09-24,15,1978.27,29674.05,60,High,Delivered,2020-09-18
PO-0000023,PRJ-0001,MAT-0005,SUP-0008,2020-06-22,2020-09-13,70,2291.35,160394.5,45,High,Delivered,2020-08-31
PO-0000024,PRJ-0001,MAT-0173,SUP-0124,2019-03-18,2019-06-28,960,1648.94,1582982.4,90,Normal,Partially Delivered,2019-06-07
PO-0000025,PRJ-0001,MAT-0204,SUP-0308,2020-03-05,2020-05-31,558,882.39,492373.62,60,High,Closed,2020-05-10
PO-0000026,PRJ-0001,MAT-0092,SUP-0034,2020-07-11,2020-09-11,105,2236.54,234836.7,90,Normal,Delivered,2020-08-24
PO-0000027,PRJ-0001,MAT-0084,SUP-0290,2020-07-30,2020-09-01,495,22019.0,10899405.0,30,Normal,Delivered,2020-08-17
PO-0000028,PRJ-0001,MAT-0032,SUP-0111,2018-12-16,2019-01-17,228,8231.12,1876695.36,90,Normal,Partially Delivered,2019-01-02
PO-0000029,PRJ-0001,MAT-0221,SUP-0137,2019-02-27,2019-06-16,174,4064.36,707198.64,90,Normal,Delivered,2019-05-28
PO-0000030,PRJ-0001,MAT-0054,SUP-0182,2019-02-19,2019-05-19,300,4715.78,1414734.0,45,Normal,Open,2019-04-29
PO-0000031,PRJ-0001,MAT-0212,SUP-0014,2019-11-11,2020-01-07,318,35747.4,11367673.2,60,Normal,Closed,2019-12-24
PO-0000032,PRJ-0001,MAT-0001,SUP-0302,2019-12-22,2020-03-23,180,12135.51,2184391.8,30,Normal,Partially Delivered,2020-03-08
PO-0000033,PRJ-0001,MAT-0203,SUP-0240,2019-03-24,2019-04-07,658,7532.78,4956569.24,45,Critical,Delivered,2019-04-02
PO-0000034,PRJ-0001,MAT-0167,SUP-0174,2020-10-02,2020-12-18,296,21817.35,6457935.6,60,Normal,Closed,2020-12-03
PO-0000035,PRJ-0001,MAT-0218,SUP-0346,2020-06-06,2020-08-27,204,7317.84,1492839.36,60,Normal,Closed,2020-08-05
PO-0000036,PRJ-0001,MAT-0100,SUP-0299,2019-03-02,2019-05-03,71,4775.58,339066.18,90,High,Partially Delivered,2019-04-15
PO-0000037,PRJ-0001,MAT-0145,SUP-0160,2019-06-29,2019-08-01,676,417.8,282432.8,90,Normal,Closed,2019-07-22
PO-0000038,PRJ-0001,MAT-0012,SUP-0250,2019-03-18,2019-06-16,462,5929.07,2739230.34,90,Normal,Partially Delivered,2019-05-29
PO-0000039,PRJ-0001,MAT-0156,SUP-0069,2020-10-28,2020-12-11,158,7680.38,1213500.04,30,Normal,Partially Delivered,2020-11-22
PO-0000040,PRJ-0001,MAT-0248,SUP-0042,2020-05-21,2020-08-02,18,1138.79,20498.22,90,High,Partially Delivered,2020-07-15
PO-0000041,PRJ-0001,MAT-0170,SUP-0181,2019-03-09,2019-06-01,372,948.66,352901.52,60,Normal,Closed,2019-05-12
PO-0000042,PRJ-0001,MAT-0125,SUP-0237,2020-10-26,2020-12-23,574,3723.04,2137024.96,90,High,Delivered,2020-12-23
PO-0000043,PRJ-0001,MAT-0208,SUP-0142,2018-12-04,2019-01-19,54,1377.12,74364.48,30,High,Closed,2019-01-09
PO-0000044,PRJ-0001,MAT-0106,SUP-0297,2019-11-16,2020-02-26,287,5249.98,1506744.26,60,High,Partially Delivered,2020-02-11
PO-0000045,PRJ-0001,MAT-0008,SUP-0335,2019-08-08,2019-11-03,228,8718.82,1987890.96,30,Normal,Closed,2019-10-26
PO-0000046,PRJ-0001,MAT-0123,SUP-0082,2019-10-06,2019-10-17,100,1020.21,102021.0,60,Critical,Delivered,2019-10-12
PO-0000047,PRJ-0001,MAT-0143,SUP-0340,2020-01-03,2020-03-20,572,3205.85,1833746.2,45,Normal,Delivered,2020-03-04
PO-0000048,PRJ-0001,MAT-0171,SUP-0161,2019-02-17,2019-04-27,686,701.43,481180.98,45,Normal,Partially Delivered,2019-04-15
PO-0000049,PRJ-0001,MAT-0249,SUP-0298,2020-10-19,2020-12-19,395,10185.89,4023426.55,30,High,Delivered,2020-12-04
PO-0000050,PRJ-0001,MAT-0175,SUP-0350,2019-02-24,2019-04-01,441,8399.0,3703959.0,90,High,Partially Delivered,2019-03-17
PO-0000051,PRJ-0001,MAT-0128,SUP-0224,2020-07-26,2020-08-13,765,2475.75,1893948.75,30,Critical,Delivered,2020-08-08
PO-0000052,PRJ-0001,MAT-0230,SUP-0307,2020-09-18,2020-10-22,715,10688.71,7642427.65,45,High,Partially Delivered,2020-10-08
PO-0000053,PRJ-0001,MAT-0069,SUP-0030,2020-11-13,2020-12-23,136,28832.76,3921255.36,45,High,Delivered,2020-12-23
PO-0000054,PRJ-0001,MAT-0070,SUP-0345,2019-02-14,2019-03-19,884,5123.34,4529032.56,60,High,Closed,2019-03-04
PO-0000055,PRJ-0001,MAT-0170,SUP-0156,2019-05-29,2019-08-21,744,1094.99,814672.56,45,Normal,Closed,2019-08-01
PO-0000056,PRJ-0001,MAT-0172,SUP-0100,2020-07-08,2020-10-12,693,7689.66,5328934.38,60,Normal,Delivered,2020-10-01
PO-0000057,PRJ-0001,MAT-0025,SUP-0124,2020-04-29,2020-06-15,504,870.39,438676.56,90,Critical,Delivered,2020-06-10
PO-0000058,PRJ-0001,MAT-0087,SUP-0252,2019-11-24,2020-02-06,378,3122.89,1180452.42,90,Normal,Delivered,2020-01-19
PO-0000059,PRJ-0001,MAT-0127,SUP-0239,2019-04-16,2019-06-09,345,6576.58,2268920.1,90,High,Closed,2019-06-02
PO-0000060,PRJ-0001,MAT-0038,SUP-0076,2019-11-27,2020-01-28,612,7093.11,4340983.32,30,Critical,Delivered,2020-01-26
PO-0000061,PRJ-0001,MAT-0189,SUP-0244,2020-01-20,2020-04-21,340,1692.95,575603.0,45,High,Delivered,2020-04-13
PO-0000062,PRJ-0001,MAT-0007,SUP-0164,2019-05-01,2019-07-22,37,44925.36,1662238.32,30,Normal,Partially Delivered,2019-07-04
PO-0000063,PRJ-0001,MAT-0112,SUP-0271,2020-02-10,2020-03-20,64,2437.68,156011.52,60,Normal,Partially Delivered,2020-03-04
PO-0000064,PRJ-0001,MAT-0010,SUP-0328,2020-07-25,2020-10-12,249,8870.08,2208649.92,90,Normal,Closed,2020-10-02
PO-0000065,PRJ-0001,MAT-0218,SUP-0111,2019-01-06,2019-03-29,136,8299.52,1128734.72,90,Normal,Partially Delivered,2019-03-12
PO-0000066,PRJ-0001,MAT-0024,SUP-0057,2020-02-04,2020-04-21,27,1964.01,53028.27,30,High,Closed,2020-04-13
PO-0000067,PRJ-0001,MAT-0009,SUP-0181,2019-03-14,2019-04-20,658,9890.06,6507659.48,60,High,Partially Delivered,2019-04-08
PO-0000068,PRJ-0001,MAT-0003,SUP-0110,2020-04-08,2020-07-15,280,5274.67,1476907.6,60,Normal,Delivered,2020-07-02
PO-0000069,PRJ-0001,MAT-0071,SUP-0125,2020-03-21,2020-06-16,1001,30305.06,30335365.06,90,Critical,Delivered,2020-06-12
PO-0000070,PRJ-0001,MAT-0090,SUP-0206,2019-03-28,2019-06-16,415,2872.95,1192274.25,30,Normal,Delivered,2019-06-07
PO-0000071,PRJ-0001,MAT-0069,SUP-0316,2020-11-13,2020-12-23,374,28706.68,10736298.32,30,Normal,Delivered,2020-12-23
PO-0000072,PRJ-0001,MAT-0014,SUP-0227,2020-12-11,2020-12-23,560,13970.75,7823620.0,45,Normal,Partially Delivered,2021-03-04
PO-0000073,PRJ-0001,MAT-0104,SUP-0301,2019-11-25,2020-02-16,360,4011.05,1443978.0,90,Normal,Open,2020-01-30
PO-0000074,PRJ-0001,MAT-0090,SUP-0234,2020-08-12,2020-10-31,913,2986.08,2726291.04,30,High,Delivered,2020-10-23
PO-0000075,PRJ-0001,MAT-0236,SUP-0224,2020-01-14,2020-03-13,520,8744.77,4547280.4,30,Normal,Closed,2020-03-03
PO-0000076,PRJ-0001,MAT-0228,SUP-0111,2020-08-21,2020-11-05,990,5140.73,5089322.7,90,Normal,Delivered,2020-10-27
