supplier_id,supplier_name,supplier_category,location,supplier_rating,capacity,payment_terms_days,reliability_score
SUP-0001,"Rodriguez, Figueroa and Sanchez",HVAC,Lake Curtis,4.0,4428,60,0.7508
SUP-0002,"Mcclain, Miller and Henderson",Plumbing,North Jefferyhaven,4.32,19524,45,0.8299
SUP-0003,"Johnson, Gonzalez and Santos",Electrical,Robinsonshire,3.95,9283,30,0.7366
SUP-0004,Pacheco-Smith,Civil,Lake Roberto,4.07,11314,45,0.768
SUP-0005,Moore-Bernard,Fire Fighting,Curtisfurt,4.63,7596,45,0.908
SUP-0006,Howard LLC,HVAC,Lindsaymouth,4.56,1354,45,0.8906
SUP-0007,"Martinez, Nielsen and Miller",Civil,Mariastad,4.73,11507,90,0.9335
SUP-0008,"Lee, Jones and Stanley",General Materials,Traciebury,4.29,9024,45,0.8237
SUP-0009,James Group,Civil,Franciscostad,4.17,16038,90,0.7926
SUP-0010,Santiago Ltd,HVAC,New Cynthiaside,4.17,13464,30,0.7918
SUP-0011,"Sanchez, Ford and Nelson",Civil,Lake Mark,4.18,2044,60,0.7946
SUP-0012,Perez Inc,Fire Fighting,Richardland,4.05,12877,45,0.7634
SUP-0013,Gentry PLC,HVAC,Jasonfort,4.81,16522,90,0.9535
SUP-0014,Wilkerson-Day,General Materials,West Donald,4.49,5986,60,0.873
SUP-0015,"Hoffman, Baker and Richards",HVAC,Coxberg,4.51,2569,90,0.8781
SUP-0016,"Snyder, Campos and Callahan",Fire Fighting,Lake Ernest,4.38,14586,60,0.8439
SUP-0017,"Henderson, Brown and James",Fire Fighting,Riceside,4.57,12340,90,0.8913
SUP-0018,Frazier Inc,Fire Fighting,Kaylamouth,3.68,2209,45,0.6706
SUP-0019,Carter and Sons,Electrical,Smithview,4.23,14869,30,0.8083
SUP-0020,"Gill, Romero and Rodriguez",Civil,Meaganhaven,4.84,2379,60,0.9598
SUP-0021,"Gonzalez, Brooks and Martin",Fire Fighting,New Mariotown,4.11,13434,45,0.777
SUP-0022,Hickman LLC,Civil,North John,4.81,12732,30,0.9515
SUP-0023,"Arroyo, Miller and Tucker",Plumbing,Port Amandaberg,4.39,3916,90,0.8476
SUP-0024,Keller PLC,Electrical,West Allison,4.69,3826,30,0.9234
SUP-0025,"Henderson, Lewis and Ryan",Fire Fighting,Lake Larry,3.68,5879,60,0.6699
SUP-0026,"Santos, Kim and Holmes",General Materials,East Jeffreymouth,4.93,10068,45,0.9832
SUP-0027,Chapman and Sons,General Materials,North Chad,4.26,693,60,0.8151
SUP-0028,"Brown, Jones and Johnson",Electrical,Chadbury,4.29,3234,60,0.8219
SUP-0029,Caldwell-Lewis,Electrical,Lake Selena,4.23,19515,30,0.8064
SUP-0030,"Johnston, Sanchez and Kennedy",General Materials,Leeville,4.51,1229,45,0.8773
SUP-0031,"Jordan, Henderson and Owens",General Materials,Lake Deniseville,4.51,19831,30,0.8775
SUP-0032,Powell LLC,HVAC,East Jamesside,4.71,3709,60,0.9281
SUP-0033,Taylor-White,Civil,Wrightland,4.19,931,45,0.7973
SUP-0034,Morton-Chase,HVAC,North Deniseside,3.84,13402,90,0.7108
SUP-0035,Novak and Sons,Electrical,South Todd,2.88,15061,45,0.4705
SUP-0036,Hancock Inc,Fire Fighting,South Aaron,3.62,12187,60,0.6538
SUP-0037,Baker-Bowers,Civil,Mitchellside,3.52,850,90,0.631
SUP-0038,"Higgins, Moore and Phillips",General Materials,New Jillton,4.73,2875,90,0.9335
SUP-0039,"Edwards, Williams and Woods",General Materials,North Susan,4.44,11562,30,0.8601
SUP-0040,York Inc,Plumbing,Lake Michellefurt,3.94,8252,45,0.734
SUP-0041,David PLC,HVAC,New Brooke,3.99,16895,60,0.7468
SUP-0042,"Miller, Sandoval and Cunningham",Civil,Sarahborough,3.42,3236,90,0.6039
SUP-0043,"Moran, Allen and Foster",Civil,Stephenland,3.68,6114,45,0.6703
SUP-0044,Ellis PLC,Civil,North Amandahaven,4.32,16037,60,0.8307
SUP-0045,Anderson-Bailey,General Materials,East Mikeburgh,3.55,19270,45,0.6374
SUP-0046,Bass-Warner,General Materials,Lake Lisaport,4.84,9350,30,0.9612
SUP-0047,"Garcia, Humphrey and Baker",Electrical,Lake Angelaview,3.77,6715,90,0.6935
SUP-0048,Jacobs-Robbins,Fire Fighting,Lake Cynthia,4.56,3305,30,0.891
SUP-0049,Wagner-King,Plumbing,North Cynthiaview,4.12,8870,60,0.7797
SUP-0050,Smith and Sons,Civil,Evanmouth,4.29,13773,90,0.8236
SUP-0051,"Thornton, Hoffman and Rodriguez",Plumbing,New Barry,3.0,13030,90,0.4999
